,claim_veracity,claim,topics,speaker,context
6789,True,In Cuyahoga County ... 56 percent of weekend voters in 2008 were African American while adult African Americans comprise 28 percent of the county population.,['elections'],Marcia Fudge,news
6791,False,"The stimulus bill sent tax credits overseas, such as $1.2 billion to a solar company thats building a plant in Mexico.","['corporations', 'energy', 'environment', 'government-efficiency', 'message-machine-2012', 'stimulus']",Americans Prosperity,ad
6792,True,"We can prevent terror suspects from boarding an airplane, but the FBI doesn't have the power to block them from buying dynamite or an AK-47.","['civil-rights', 'guns', 'terrorism']",Michael Bloomberg,news
6794,True,Wisconsin Republicans repealed a statewide fair pay law that made sure women are treated fairly on the job.,"['civil-rights', 'government-regulation', 'income', 'women', 'workers']",Barack Obama,speech
6795,True,"Under a proposed Georgia law, women who miscarry could become felons.",['abortion'],Liberal Blogger,social media
6796,True,"Since 2000, when he entered politics, Jon Husted has been on the ballot six times for three different political offices.",['elections'],Maryellen Oshaughnessy,news
6797,True,Georgia has some of the highest gas taxes in the Southeast but one of the lowest taxes on gasoline for transportation in the nation.,"['gas-prices', 'taxes']",Ed Lindsey,Undefined
6798,True,"(Paul Ryan) has actually proposed three total, three bills that have become law in his entire career dating back to 1999.",['candidates-biography'],David Canon,news
6799,False,Only the State of New York spends more money on Medicaid than the State of New Jersey.,"['health-care', 'state-budget']",Chris Christie,speech
6800,True,Cantors campaign spent more at steakhouses than Brat spent on his entire campaign.,['campaign-finance'],Chuck Todd,speech
6801,True,"The average South Korean is3 inches taller than the average North Korean, a huge gulag.",['foreign-policy'],John Mccain,speech
6802,False,We cut property taxes by one-third.,"['economy', 'education', 'taxes']",Rick Perry,speech
6803,False,An independent payment advisory board created by the health care reform law can ration care and deny certain Medicare treatments.,"['health-care', 'medicare', 'message-machine-2012']",Pat Boone,ad
6804,False,Chris Telfer Says her accomplishments include a fiscally responsible budget agreement that controls state spending.,"['state-budget', 'state-finances']",Chris Telfer,news
6807,False,"Some of the colleges, including AM, have already guaranteed that they will not increase their tuition.","['education', 'state-budget']",Jimmie Don Aycock,speech
6808,False,Austin was the site of the first mass shooting in the country.,"['crime', 'history']",Steve Adler,speech
6809,True,President Obama has fired more cruise missiles than all other Peace Prize winners combined.,"['foreign-policy', 'military', 'new-hampshire-2012']",Yard Sign,Undefined
6811,True,More than one-quarter of Americas young adults are too fat to serve in the U.S. military,['military'],Michelle Obama,speech
6812,False,"Van Jones is an avowed, self-avowed radical revolutionary communist.","['environment', 'pundits']",Glenn Beck,speech
6813,True,New Castle Countys unemployment rate has not almost doubled in the last two years.,['economy'],Chris Coons,speech
6814,False,Bob Buckhorn Says he balanced the budget without raising taxes.,"['city-budget', 'taxes']",Bob Buckhorn,ad
6815,False,"(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill.","['message-machine-2012', 'taxes']",John Driscoll,ad
6818,False,Bruce Braley threatened to sue a neighbor over chickens that came onto (his) property.,"['animals', 'legal-issues']",Joni Ernst,speech
6819,False,Reince Priebus Says Wisconsin Gov. Scott Walker in his budget repair bill is showing that no stone goes unturned as he asks everyone to tighten their belts.,"['labor', 'state-budget', 'taxes']",Reince Priebus,speech
6822,True,"McCain used to buck his party on immigration by fighting for comprehensive reform. . . . But when he was running for his party's nomination, he . . . said that he wouldn't even support his own legislation if it came up for a vote.",['immigration'],Barack Obama,speech
6823,False,"President Obama and Democrats spending addiction has driven our national debt to historic proportions, maxed out our national credit card and has now led to the Democrat Downgrade of our countrys AAA credit rating.",['federal-budget'],Kevin Dewine,news
6825,True,The FBI is involved in an investigation about people in the Rio Grande Valley who are using cocaine to buy votes.,"['crime', 'drugs', 'elections']",Greg Abbott,speech
6826,True,Marco Rubio wrote and passed bipartisan legislation allowing the VA to fire negligent workers.,['veterans'],Marco Rubio,ad
6827,False,Romney and Bain Capital drove KB Toys into bankruptcy by loading it up with debt.,"['candidates-biography', 'jobs', 'message-machine-2012']",Winning Our Future,speech
6829,True,"In Florida, the number of voters who now register as other has grown by a million in the last 10 years. Compare that with the Democrats, who only grew by 300,000 and the Republicans who grew by just 200,000.",['elections'],Chuck Todd,speech
6830,True,We havent passed a budget in more than three years and not a single appropriations bill has been brought to the floor this year.,"['congress', 'federal-budget']",Bob Corker,news
6831,False,Were practically not allowed to use coal any more. What do we do with our coal? We ship it to China and they spew it in the air.,"['energy', 'environment']",Donald Trump,speech
6834,False,There is a 34 percent increase in violent crime in the state of California. And thats just within the last year.,['crime'],Duf Sundheim,speech
6835,False,Marco Rubio says Solo Ingles (English only).,['immigration'],Kendrick Meek,ad
6836,True,"Goldman Sachs was Barack Obama's ""No. 1 private contributor.""","['elections', 'market-regulation']",Michael Moore,speech
6837,False,"Say this biennium, liquor sales account for nearly $1 billion in the state budget.","['state-budget', 'state-finances']",Chris Garrett Bill Kennemer,speech
6839,True,A clear majority of Americans support removing the cost-sharing requirement for prescription contraceptive coverage.,"['health-care', 'women']",Rush Holt,news
6841,False,Mitch Mcconnell Says he voted for even stronger protections (in the Violence Against Women Act)than Obamas agenda will allow.,"['crime', 'criminal-justice', 'message-machine-2014', 'women']",Mitch Mcconnell,ad
6843,False,Early census returns are showing that conservatives have been measurably less likely than liberals to return their census forms.,['census'],Patrick Mchenry,news
6844,False,The church Barack Obama belongs to only admits black people.,['religion'],Chain Email,Undefined
6845,False,Ben Bernanke has been the most inflationary chairman in the history of the Federal Reserve.,['economy'],Newt Gingrich,speech
6847,True,"Bill Young uses his campaign money for, among other things, a luxury car.","['campaign-finance', 'ethics', 'message-machine']",Charlie Justice,ad
6849,True,"Before taking executive action on immigration, President Obama stated 22 times that he does not have the authority to change immigration laws on his own.",['immigration'],Bob Goodlatte,social media
6850,True,Excise taxes are...disproportionately burdening middle- and lower-income consumers.,['taxes'],David Sutton,speech
6851,False,"After actions by Gov. Scott Walker and Republicans, Wisconsin is dead broke.","['education', 'state-budget', 'taxes']",Occupy Democrats,social media
6852,True,Georgia still has one of the richest programs in terms of scholarships for students to go to college.,['education'],Nathan Deal,speech
6853,True,"In order to pass the CRCT in Georgia, you simply have to get half of the answers correct.",['education'],Alisha Thomas Morgan,speech
6855,False,"Human error, such as skipping a community in the Wisconsin Supreme Court race, is common in (the vote-tabulation) process.",['elections'],Kathy Nickolaus,speech
6856,True,"At Twin River, were more than competitive with nearby casinos in slot machine payouts.","['economy', 'gambling']",Patti Doyle,speech
6857,True,"Understand, this is unemployment insurance. Its not welfare, as a lot of my Republican colleagues like to suggest it is. You pay into it when youre working. You get help when youre not.","['deficit', 'economy', 'federal-budget', 'jobs']",Sherrod Brown,speech
6858,True,The substitute budget now adds in tax breaks and tax deductions for those who buy these prisons.,['state-budget'],Matt Lundy,speech
6860,True,The Children's Defense Fund rated McCain as the worst senator in Congress for children.,['health-care'],Moveon,social media
6862,False,Donald Trump has described Hillary Clinton as one of the best secretaries of state in history.,"['candidates-biography', 'foreign-policy']",Ted Cruz,speech
6863,False,A scheduled speech by President Barack Obama will be the first time an American president has spoken directly to the nation's school children about persisting and succeeding in school.,['education'],Arne Duncan,writing
6865,True,"With this reform, every insured American gets valuable consumer protections, and every uninsured American can become insured.",['health-care'],Lloyd Doggett,speech
6866,True,"Under President Barack Obamas jobs bill, you can sue if you are unemployed and dont get the job and think you werent hired because you are unemployed.","['jobs', 'legal-issues', 'pundits', 'workers']",Sean Hannity,speech
6869,False,"Rev. Wright said ""that al-Qaida and the American flag were the same flags.""",['patriotism'],John Mccain,Undefined
6870,True,"The average 401(k) in America of a person whos 60 years old is under $100,000.","['economy', 'labor', 'retirement', 'state-finances']",Gina Raimondo,speech
6871,True,Mitt Romney wants to end tax credits for wind producers.,['energy'],Barack Obama,ad
6872,True,November 2012 was a record year of turnout. More people voted before Election Day using absentee ballots and voting early than ever before in our history.,['elections'],Ken Detzner,speech
6873,True,"If you are born poor in America, we rank ninth or tenth in our citizens ability to climb up through that ladder and get themselves into the middle class.","['economy', 'education', 'income']",Tim Ryan,speech
6874,True,"By the time Obama took office, The Bush administration had given the car companies $13 billion and the money was now gone.","['economy', 'message-machine-2012']",Barack Obama,ad
6875,True,"By reducing chronic health care costs in the State of Georgia, we can reduce the $32.8 billion lost each year due to lack of productivity and economic costs.","['economy', 'health-care']",Hank Johnson,writing
6877,True,President Obama has declared disasters in 48 of 50 states this year.,['homeland-security'],Harry Reid,speech
6878,False,Each vegan spares more than 100 animals every year.,"['agriculture', 'animals', 'food-safety', 'health-care']",Heather Moore,speech
6880,False,The deal to raise the nations debt ceiling will directly link a debt ceiling increase to spending cuts for the first time ever.,"['deficit', 'federal-budget']",Jon Runyan,ad
6881,False,Sixteen thousand new Internal Revenue Service agents will be empowered to enforce the new health care legislation.,"['health-care', 'taxes']",Tom Price,speech
6882,False,The Chinese government provides their people no access to the Internet.,"['china', 'technology']",Marco Rubio,speech
6883,False,"Sen. Clinton said ""the surge of troops in Iraq was 'working.' Now.... Sen. Clinton says the surge 'has failed' and that we should 'begin the immediate withdrawal of U.S. troops.'""",['iraq'],John Mccain,news
6884,True,"Paul Broun Says that except for foreign policy, Ron Pauls voting record and his voting record are virtually identical.",['voting-record'],Paul Broun,writing
6885,True,The African-American community lost half of their wealth as a result of the Wall Street collapse.,"['diversity', 'financial-regulation']",Bernie S,speech
6887,True,The Congressional Budget Office estimates a cap-and-trade program would cost the average family the equivalent of a postage stamp a day.,"['energy', 'environment']",Edward Markey,news
6890,True,Our children's safety is potentially at risk because nearly half of the apple juice consumed by our children comes from apples grown in China.,['consumer-safety'],John Edwards,speech
6891,True,"By the way, Im not raising tolls 50 percent....Jon Corzine did.",['transportation'],Chris Christie,speech
6892,True,"If public employees dont pay more for benefits starting April 1, 2011, the equivalent is 1,500 state employee layoffs by June 30, 2011 and 10,000 to 12,000 state and local government employee layoffs in the next two years.","['labor', 'state-budget']",Scott Walker,speech
6893,True,"Over the past three years, deep poverty has reached its highest level on record.","['history', 'poverty']",Paul Ryan,speech
6894,False,Bernie Sanders is going to tax you people at 90 percent.,['taxes'],Donald Trump,speech
6895,False,Pam Bonditold a group of lobbyists shell side with corporate special interests as attorney general.,"['candidates-biography', 'message-machine']",Dan Gelber,ad
6896,True,Romney wants to add $2 trillion to the defense budget that the military hasnt asked for.,"['debates', 'deficit', 'military', 'taxes']",Barack Obama,speech
6897,False,U.S. Rep. Phil Gingrey wants public schools to teach women to stay in their place.,"['families', 'marriage', 'women']",Lauren Benedict,news
6898,False,"As the election tracker FiveThirtyEight has reported, whoever wins Pennsylvania will be our next President.","['elections', 'states']",Rob Gleason,writing
6899,False,Roger Williams Says U.S. House opponent Michael Williams does not live in and has never voted in the congressional district hes seeking to represent.,"['candidates-biography', 'elections']",Roger Williams,ad
6900,False,No one in American history has moved from a June 16 announcement to a May 26 winning of a majority. Trumps achievement is remarkable.,"['elections', 'history']",Newt Gingrich,social media
6901,True,"The Interior Department is in charge of salmon while theyre in fresh water, but the Commerce Department handles them when theyre in saltwater.","['environment', 'government-efficiency', 'water']",Barack Obama,speech
6902,True,"The U.S.tax rate on successful small businesses is 44.6 percent, while the business tax rate in Canada is 15 percent.",['taxes'],Paul Ryan,speech
6903,False,Ann McLane Kuster is for a government takeover of health care more radical than Obamacare. And she supports a $700 billion cut to Medicare for current retirees.,"['health-care', 'medicare']",Charles Bass,ad
6904,True,Last year we spent more than $40 billion on highways. And Lord knows we need that. But thats more than we spent on Amtrak in its entire 40-year history.,"['federal-budget', 'transportation']",Frank Lautenberg,news
6905,True,You cannot get (Ebola) from just riding on a plane or bus.,"['ebola', 'public-health', 'transportation']",Barack Obama,ad
6908,True,"Deer baiting, planned for Block Island by DEM, is illegal in Rhode Island.","['animals', 'crime', 'environment', 'government-regulation', 'guns', 'pundits', 'recreation', 'market-regulation']",Richard August,speech
6909,True,Liberty University students were mandated to attend Sen. Ted Cruzs presidential announcement or they would be fined.,['elections'],Jess Mcintosh,ad
6910,False,Hundreds of thousands of (illegal immigrants are) going to state and federal penitentiaries.,"['crime', 'immigration']",Donald Trump,speech
6911,False,Slim Jims just recently cost 99 cents but now cost $2.69.,"['agriculture', 'economy']",Sarah Palin,speech
6912,False,President Barack Obama and Secretary of State John Kerry agreed to lift Irans economic and arms sanctions without any proof of change in conduct.,['nuclear'],Lynn Westmoreland,news
6913,True,President Barack Obama has deported more people in his first year in office than George W. Bush in his last year in office.,"['immigration', 'legal-issues', 'abc-news-week']",Jorge Ramos,speech
6914,True,Weve seen our deficits cut by two-thirds.,['deficit'],Barack Obama,speech
6916,True,Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee.,"['candidates-biography', 'congress', 'voting-record']",Alan Grayson,writing
6917,True,"Marco Rubio Says Patrick Murphy embellished, according to reports, his University of Miami academic achievement.",['candidates-biography'],Marco Rubio,ad
6918,False,"Every billion dollars we spend on highway construction results in 47,500 jobs. But the fact is the average American is sitting in traffic 38 hours a year.",['transportation'],Mike Huckabee,speech
6919,False,Jeanne Shaheen got behind the idea of using the IRS to target American citizens for their political views.,['taxes'],Jennifer Horn,speech
6921,True,We lock up close to 2.4 million people in this country. Were locking up more people than China and Russia.,"['china', 'crime', 'criminal-justice']",Joe Donald,speech
6922,True,You can fill out your tax return in Estonia online in five minutes.,"['foreign-policy', 'taxes']",Jeb Bush,speech
6923,True,In 2010 about 75 percent of child abuse and neglect reports in Oregon were made by those required to report by law.,['children'],Laurie Monnes Anderson,speech
6924,True,"Since Oregons prescription-only law took effect, meth lab incidents have dropped by 96 percent and meth-related arrests by 32 percent.","['crime', 'drugs']",Rob Bovett,news
6925,False,OShaughnessy even voted for her own personal stimulus package -- a taxpayer-funded pay raise for herself.,"['job-accomplishments', 'public-service']",Jon Husted,ad
6926,False,"When Washington liberals wanted to take away our guns, Chet said no.","['guns', 'message-machine']",Chet Edwards,ad
6927,False,"Because of Obamacare, over the last two years, health care premiums have gone up -- its true -- but theyve gone up slower than any time in the last 50 years.","['debates', 'health-care']",Barack Obama,speech
6928,False,Charlie Crist Says Marco Rubio endorsed Obamacare for his own family.,['health-care'],Charlie Crist,news
6929,False,"Then, the Republican leader theatrically introduced new bills with stopgap budget language, declaring that we could stay until midnight and pass this compromise. Except under our constitution, a bill has to be read on 3 different days, so thats not possible.",['state-budget'],Kelly Cassidy,social media
6930,False,There are many health insurance plans that will cover Viagra but won't cover birth-control medication.,['health-care'],John Mccain,speech
6931,False,Ken Cuccinelli attacked churches for helping the poor.,['religion'],Paul Begala,writing
6932,True,"We have created new jobs here in Cranston -- more than 1,000.","['city-government', 'corporations', 'economy', 'government-regulation', 'job-accomplishments', 'jobs', 'market-regulation', 'small-business', 'workers']",Allan Fung,speech
6933,False,"Michele Bachmann said, The Chinese built a Great Wall 5,000 years ago. You dont see any illegal Mexicans in China.",['immigration'],Facebook Posts,Undefined
6934,True,Rhode Islands state pension system underperformed the median three out of the four years that Mr. [Frank] Caprio was in office.,"['candidates-biography', 'economy', 'pensions', 'retirement', 'workers']",Seth Magaziner,speech
6935,False,"Donald Trump Says Hillary Clinton was let off the hook for her email scandal while Gen. David Petraeus had his life destroyed for doing far, far less.","['candidates-biography', 'criminal-justice', 'foreign-policy', 'government-regulation', 'homeland-security', 'military', 'technology', 'transparency']",Donald Trump,speech
6937,False,Transporting drugs is the price of admission for people crossing the border illegally.,"['crime', 'drugs', 'homeland-security', 'human-rights', 'immigration', 'marijuana']",John Loughlin,speech
6939,True,Hillary Clinton supported and continues to support fracking.,['environment'],Bernie S,speech
6940,False,A filibuster has never really been successfully used against a Supreme Court justice.,"['legal-issues', 'supreme-court', 'colbert-report']",Jeffrey Toobin,speech
6941,True,North Carolinas coast is possibly the best place in (the) U.S. for an offshore windfarm.,"['climate-change', 'energy', 'environment', 'states', 'weather']",Duane Hall,social media
6942,False,"Russ Feingold supported a stimulus plan that allowed a company to create 3,000 jobs in China.","['message-machine', 'stimulus', 'trade']",Ron Johnson,ad
6943,False,Scientists are questioning the original idea that man-made global warming is what is causing the climate to change. (It is) more and more being put into question.,"['climate-change', 'energy', 'environment']",Rick Perry,ad
6944,True,Paul Ryans budget would turn Medicare into a voucher.,['medicare'],Robert Menendez,speech
6946,False,Obamacare is going to increase the divorce rate.,"['health-care', 'marriage']",Rush Limbaugh,speech
6947,True,"Many states without collective bargaining, such as Arizona, Nevada and North Carolina, have far larger budget deficits than many that do, including Ohio.","['labor', 'state-budget']",David Pepper,speech
6949,True,Wisconsin Institute Law Liberty Says Madison Mayor Paul Soglins stated intent when proposing that city contractors disclose private political donations was to discourage contributions to organizations with which he disagrees.,"['campaign-finance', 'elections']",Wisconsin Institute Law Liberty,social media
6950,True,A Republican bill that would change John Doe criminal investigations is creating exceptions in the law for politicians.,"['campaign-finance', 'crime', 'criminal-justice', 'elections', 'ethics', 'legal-issues']",Chris Danou,speech
6951,False,We allow more people into America legally than all other countries on the planet combined.,['immigration'],Greg Walden,speech
6952,True,"By the end of 2015, more than 1,300 people will have died on Georgia roads. One of out evey four fatalities resulted from drunken driving.","['Alcohol', 'crime', 'public-safety', 'states', 'transportation']",State Public Service Announcement,Undefined
6953,True,Providence is one of the busiest fire departments for its relative size in the country.,"['city-government', 'government-efficiency', 'public-safety']",Paul Doughty,speech
6955,False,Chris Christie instituted an Internet sales tax.,"['economy', 'government-regulation', 'state-budget', 'states', 'taxes']",Conservative Solutions Pac,ad
6956,False,No federal official at any level is currently allowed to say Merry Christmas.,['religion'],Newt Gingrich,ad
6957,False,"Obama ""refused to not only put his hand on his heart during the Pledge of Allegiance, but refused to say the pledge.""",['patriotism'],Chain Email,writing
6958,False,I started the whole year as a senior on the University of Illinois football team and led the team in interceptions and tackles from defensive back.,"['candidates-biography', 'education', 'sports']",Scott Turner,speech
6962,False,"In Wisconsin, 98 percent of all small businesses will qualify for income-tax relief under my plan, freeing them to expand and create jobs.","['small-business', 'taxes']",Scott Walker,news
6963,False,The Democratic Party is getting smaller and smaller and smaller.,['elections'],Ted Cruz,speech
6964,False,John Podesta Says Hillary Clintons been very clear where she stands on trade.,['trade'],John Podesta,speech
6965,False,"To Hillary Clinton, You heard what I said about (the Trans-Pacific Partnership trade deal), and all of a sudden you were against it.","['candidates-biography', 'economy', 'foreign-policy', 'history', 'trade']",Donald Trump,speech
6967,True,A new presidential helicopter is now going to cost as much as Air Force One.,['federal-budget'],John Mccain,speech
6969,True,"An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.","['history', 'human-rights', 'legal-issues', 'religion', 'taxes']",Donald Trump,speech
6971,False,(Jack Kingston) had more earmarks at one time than every member of the Georgia delegation put together.,['federal-budget'],Paul Broun,speech
6972,True,You see 34 people (are) murdered every single day by gunfire in America.,"['crime', 'guns']",Cory Booker,speech
6973,False,"One of the most troubling aspects of the Rubio-Schumer Gang of Eight bill was that it gave President Obama blanket authority to admit refugees, including Syrian refugees, without mandating any background checks whatsoever.","['foreign-policy', 'immigration']",Ted Cruz,speech
6974,True,I stopped requesting earmarks in 2008.,"['federal-budget', 'transparency']",Michael Mccaul,news
6976,False,Conservative Solutions Pac Says Donald Trump bans disabled veterans from his high rise.,['veterans'],Conservative Solutions Pac,ad
6977,True,Youre more likely to get struck by lightning in Texas thanfind in-person voter fraud.,['elections'],Cory Booker,speech
6978,False,"Once again, a police officer has been killed with an illegal gun from Georgia a state that last year did the NRAs bidding and weakened its already lax gun laws.","['crime', 'guns']",Everytown Gun Safety,news
6979,True,Georgia has one of the nations highest jet fuel taxes.,"['state-budget', 'state-finances', 'transportation']",Trebor Banstetter,news
6981,True,"In 2015 roughly 10,000 political arrests occurred in Cuba. That is five times as many as occurred in 2010, when there were only about 2,000.","['foreign-policy', 'human-rights', 'legal-issues']",Ted Cruz,speech
6982,True,"Obama's proposed budget doubles the debt in five years, triples it in 10 years.",['federal-budget'],Judd Gregg,speech
6983,False,"Of the states that have a lieutenant governor, many are currently discussing the need for such an obsolete office.",['government-efficiency'],Robert Healey,speech
6984,True,"Since 2010, eight children in Georgia have died due to vehicular heatstroke.",['children'],Nathan Deal,speech
6985,True,"Every day, 34 Americans are murdered with guns.","['crime', 'criminal-justice', 'government-regulation', 'guns']",Pardeep Kaleka,social media
6986,False,"Bill Nelson sold agricultural land for home development, pocketing at least $1.4 million.","['agriculture', 'taxes']",American Crossroads,ad
6987,True,John Kerry is the first secretary of state to rely primarily on a government account.,"['foreign-policy', 'technology']",Hillary Clinton,speech
6988,False,U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.,"['ebola', 'foreign-policy', 'military', 'public-health']",Allen West,social media
6989,False,Eight Americans died in a knife attack at a Minnesota mall.,"['guns', 'terrorism']",Tom Tancredo,writing
6991,False,Charles Koch Says he has engaged in the political process only in the past decade.,"['campaign-finance', 'corporations']",Charles Koch,news
6992,True,One thing that is much more unpopular than the Affordable Care Act is repealing the Affordable Care Act.,"['congress', 'health-care', 'polls']",Democratic National Committee,speech
6993,False,"Carpet bombing means bombing not a city, but the location of the troops, with embedded special forces to direct the air power.","['corrections-and-updates', 'history', 'military', 'terrorism']",Ted Cruz,speech
6996,False,"A little-known unit of the Department of Justice, the Community Relations Service, was deployed to Sanford, FL, following the Trayvon Martin shooting to help organize and manage rallies and protests against George Zimmerman.",['criminal-justice'],Judicial Watch,news
6997,True,The CIA paid two psychologists $81 million to develop and run their torture program.,"['afghanistan', 'human-rights', 'iraq', 'terrorism']",Doonesbury,Undefined
6998,True,[N]early one in three primary care doctors are forced to limit the number of Medicare patients they see.,['health-care'],Tom Price,news
6999,False,Marco Rubios proposed college affordability overhaul would specifically benefit for-profit colleges.,['education'],American Bridge 21St Century,news
7001,True,Human trafficking is the third-biggest criminal enterprise in the world.,"['crime', 'human-rights']",Amy Klobuchar,speech
7005,True,Too many tattoos on visible body parts keepsome applicants out of the military.,['military'],Jeb Bush,Undefined
7007,False,You lie! (in response to President Obama saying health reform would not insure illegal immigrants.),"['health-care', 'immigration']",Joe Wilson,Undefined
7008,False,"Pope Francis uses a modest compact car to get around, while Creflo Dollar drives an expensive sports car.",['religion'],Viral Image,social media
7009,True,Tax increases could come into play as a result of the debt ceiling deal.,"['federal-budget', 'taxes']",Phil Gingrey,news
7011,True,"Michele Bachmann Says President Barack Obama said that if he doesnt turn the economy around after three years in office, hell be a one-term president.",['economy'],Michele Bachmann,speech
7012,False,President Barack Obama has weakened the respect for America abroad.,"['foreign-policy', 'polls']",Callista Gingrich,speech
7013,True,The fact is it's not amnesty.,['immigration'],John Mccain,speech
7015,False,I was able to go and buy an automatic weapon Most people can go out and buy an automatic weapon.,['guns'],Don Lemon,ad
7016,True,"After my first year as governor, I was one of the most unpopular governors, maybe the most unpopular governor in the country. ... It changed.","['elections', 'job-accomplishments', 'polls']",John Kasich,speech
7019,False,The Democrats plan to raise your tax rates to 70 or 80 percent.,['taxes'],Chris Christie,speech
7020,False,"A lot of the move to free the slaves ... did not come from the federal government. It came from a growing movement among the people, particularly people of faith.","['history', 'religion']",Jim Demint,ad
7021,False,Scott Walker Says many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.,"['labor', 'state-budget']",Scott Walker,speech
7022,False,$3 billion over the next five years will be taken out of our public schools and be put into vouchers.,"['children', 'education', 'poverty']",Nan Rich,speech
7023,False,Hillary Clintons energy agenda will cost the U.S. economy over $5 trillion,['energy'],Donald Trump,speech
7024,True,Republican state lawmakers are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.,"['health-care', 'taxes']",Thom Hartmann,ad
7025,False,The D.C.citycouncilpasseda lawbanninglethalrat trapping.,"['animals', 'city-government']",Ken Cuccinelli,speech
7027,True,Fran DeWines made-from-scratch dinner rolls are a delicious favorite in a traditional Thanksgiving dinner.,['families'],Mike Dewine,news
7028,True,California has more kids in poverty ... than virtually any other state.,"['children', 'poverty']",Common Sense Kids Action,news
7029,False,"The Obama-GOP compromise raises taxes, it raises the death tax.","['federal-budget', 'taxes']",Jim Demint,speech
7031,False,Jeb Bush once held $1 million in family planning grants hostage until the programs receiving the money agreed not to discuss birth control at all.,"['education', 'women']",Emilys List,news
7032,True,"The R.I. Turnpike and Bridge Authority was supposed to exist only until the bonds used to build the Newport Bridge were paid off through tolls. Once the bonds were paid, the Newport Bridge was to be transferred to the State of Rhode Island and become toll-free.","['history', 'infrastructure', 'legal-issues', 'transportation']",Steven Frias,speech
7033,False,"Over the last two years since President Obama has taken office, the federal government has added 200,000 new federal jobs.","['federal-budget', 'workers']",John Boehner,speech
7034,False,Israel Oquinn on unemployment rates: We have counties in Southwest Virginia that are well into double digits and some that are pushing 20 percent.,"['energy', 'environment', 'government-regulation', 'jobs']",Israel Oquinn,speech
7036,False,President Obama said that Small Businesses Succeed Because of Government.,"['government-regulation', 'infrastructure', 'small-business']",Chuck Fleischmann,ad
7038,True,Because of the Trans-Pacific Partnership weve got a country like Malaysia taking really serious efforts to crack down on human trafficking.,"['human-rights', 'trade']",Barack Obama,speech
7040,False,Ron Johnson supported a plan to cut benefits and raise the retirement age for Social Security.,['social-security'],State Democratic Party Wisconsin,speech
7041,True,Mitt Romney says the next president doesn't need foreign policy experience.,['foreign-policy'],John Mccain,ad
7042,True,"The GOP health care plan ""would allow health insurance companies to continue engaging in unfair and discriminatory practices like denying coverage to people because of a pre-existing medical condition.""",['health-care'],Debbie Wasserman Schultz,news
7043,True,Tom Leppert Says we brought crime rate down by 30 percent when he was mayor of Dallas.,"['city-budget', 'crime', 'federal-budget']",Tom Leppert,speech
7045,False,"In K-12 education, our kids are scoring at the bottom of science and mathematics right now in the industrialized world -- at the bottom.",['education'],Dave Brat,speech
7047,False,"Royalties foroil and other energy sources are the ""second-largest revenue source to the federal government after the IRS.""","['energy', 'federal-budget']",Darrell Issa,speech
7048,False,"The No. 2 owner of Fox News is Prince Alwaleed bin Talal, who said, A strong American Government is not good for us.",['pop-culture'],Facebook Posts,social media
7049,False,The Congressional Budget Office said unemployment could top 9 percent in 2013,"['economy', 'jobs', 'message-machine-2012']",Us Chamber Commerce,ad
7051,True,Sen. Sanders did vote five times against the Brady bill.,['guns'],Hillary Clinton,speech
7053,False,"Bernie Sanders once said, Instead of removing the conditions that make people depressed, modern society gives them antidepressant drugs.",['health-care'],Viral Image,social media
7054,True,I have never supported cap and trade.,"['candidates-biography', 'cap-and-trade', 'florida']",Marco Rubio,speech
7055,False,"The non-partisan Congressional Budget Office concluded ObamaCare will cost the U.S. more than 800,000 jobs.","['health-care', 'job-accomplishments', 'jobs']",Roger Williams,ad
7056,False,"There are prototype cars that get between 100 and 150 miles per gallon and ""we could have those cars in your garages in a couple of years.""",['energy'],Hillary Clinton,speech
7057,True,"30,000 Arizonans may have no choice on Affordable Care Act coverage.",['health-care'],John Mccain,ad
7058,True,"There are corporations in this nation, some of the biggest corporations in this nation, who do not pay taxes.","['corporations', 'federal-budget', 'taxes']",Marcia Fudge,speech
7060,True,Virginia House Republicans are sacrificing $5 million a day in U.S. funds by refusing to expand Medicaid.,"['federal-budget', 'medicaid']",Democratic Party Virginia,social media
7061,False,I represent the fourth-poorest (congressional) district in the nation.,"['census', 'income', 'poverty']",Gwen Moore,speech
7063,True,Ohios lost more jobs in March than any other state in the nation.,"['economy', 'jobs']",Mike Foley,news
7064,False,Patrick Murphy wrongly conveyed Rubios stance on abortion for women infected by Zika.,"['abortion', 'candidates-biography', 'corrections-and-updates']",Marco Rubio,ad
7066,False,A recent drop in the unemployment rate is questionable because it was calculated over two days of the Thanksgiving week.,"['economy', 'pundits', 'workers']",Rush Limbaugh,speech
7068,True,"In his first TV interview as president, Obama said we should talk to Iran.",['foreign-policy'],Mitt Romney,speech
7069,False,I have never voted for a tax increase.,"['florida', 'taxes']",Marco Rubio,ad
